held_out_subject,f1_21,auc_21,f1_22,auc_22,f1_23,auc_23,beta_image,alpha_eeg
EN1,0.6297852215368177,0.6689307219216898,0.5425415177157338,0.5538144180660104,0.10484569194246614,0.615424281137489,0.6804086538461539,0.006643911508413461
EN3,0.6550943266393192,0.66271239089243,0.4832872935979347,0.5000686274509805,0.06993006993006992,0.6099865132166562,0.8896484375,0.014731187086838942
EN5,0.6551320953190112,0.6722199551112018,0.49633699633699635,0.5063230240549828,0.10988505747126438,0.6038306938147193,0.9706730769230769,0.009281099759615385
EN6,0.6316751674701939,0.6746587745088494,0.5056064073226545,0.5171175575836592,0.08418631397354802,0.6649433404516975,0.8177083333333334,0.015792384292140152
ES1,0.6351744061691673,0.6816939890710381,0.5344036932546807,0.5869479620479862,0.039841897233201584,0.5804817103101436,0.9441061580882353,0.04606000114889706
ES3,0.6189181228323459,0.6853099364372249,0.4922645689226457,0.5126788496954242,0.0,0.5941791645807897,0.9857177734375,0.04021644592285156
ES4,0.6042923732448741,0.62487253112924,0.5487900391605582,0.5859931416512794,0.09658978907944017,0.5698912298290921,0.8791316105769231,0.016452495868389424
ES5,0.6166985031785978,0.6958757779639186,0.5563704275683732,0.568836822303685,0.05052631578947368,0.5810371563080363,0.9685096153846153,0.035037935697115385
