fold,f1_21,auc_21,f1_22,auc_22,f1_23,auc_23,beta_image,alpha_eeg
1,0.6258404090065905,0.6730003270392619,0.5207249572046119,0.5315031828703703,0.19420964207290842,0.6195967929264041,0.9975247524752475,0.021016194088624256
2,0.6457126400247255,0.667834018916688,0.5052009256916922,0.5595591818767784,0.1801313893313263,0.6136748332046141,0.9192450495049505,0.01522162409112005
3,0.6378465155693239,0.6624242212477507,0.5791682243970273,0.6372666918891652,0.1716293299028246,0.6759720737612886,0.8026194852941176,0.06238391352634804
4,0.6289229586986114,0.6910306017149391,0.5745213679754884,0.6131236653077073,0.08703092531475369,0.6146183931589067,0.91796875,0.06065667844286152
5,0.6290467633631103,0.6954777012402373,0.5138629618478214,0.5585562006281526,0.1887035786037487,0.6661507640629776,0.8005131740196079,0.024089738434436275
